station_id,station_name,operator,latitude,longitude,address,town,postcode,status,total_ports,max_power_kw,district,state,source
272734,The LINC KL,Shell Recharge (Malaysia),3.004945242919206,101.78654115835228,"360, Jln Tun Razak, Taman U Thant",Kuala Lumpur,50400.0,Operational,1.0,11.0,Hulu Langat,Selangor,OCM
459524,[Restricted] JADITE SUITES (Residential Condo),ChargeSini,2.992677,101.757736,Persiaran Jade Hills Utama,Kajang,43000.0,Operational,2.0,22.0,Hulu Langat,Selangor,OCM
459516,PKNS COMPLEX BANGI (Shopping Mall),ChargeSini,2.961875,101.757225,Kompleks PKNS Bangi,Bandar Baru Bangi,43650.0,Operational,3.0,40.0,Hulu Langat,Selangor,OCM
210709,Gentari x JomCharge @ Bangi Golf Resort,Jom Charge,2.9569960938979563,101.76559011438916,1 Jalan Golf,Bandar Baru Bangi,43650.0,Operational,4.0,120.0,Hulu Langat,Selangor,OCM
469573,[Restricted] PALM HILL RESIDENCES 3 (Residential Condo),Unknown,3.025894,101.805321,32a,KAJANG,43000.0,Operational,2.0,22.0,Hulu Langat,Selangor,OCM
459538,[Restricted] RESIDENSI BUKIT PALMA (Residential Condo),ChargeSini,3.024755,101.805649,Palm Hill Residence 1,Kajang,43000.0,Operational,4.0,22.0,Hulu Langat,Selangor,OCM
459537,[Restricted] RESIDENSI BUKIT PALMA 2 (Residential Condo),ChargeSini,3.02411,101.804726,Residensi Bukit Palma 2,Cheras,43000.0,Operational,4.0,22.0,Hulu Langat,Selangor,OCM
459541,[Restricted] SUTERA PINES APARTMENT (Residential Condo),ChargeSini,3.026803,101.813782,Sutera Pines,Kajang,43000.0,Operational,3.0,22.0,Hulu Langat,Selangor,OCM
459533,[Restricted] PANGSAPURI PUNCAK SAUJANA (Residential Condo),ChargeSini,3.017278,101.812614,Pangsapuri Puncak Saujana,Kajang,43000.0,Operational,4.0,22.0,Hulu Langat,Selangor,OCM
459532,[Restricted] PANGSAPURI SAUJANA PERMAI 2 (Residential Condo),ChargeSini,3.014625,101.810944,Pangsapuri Saujana Permai 2,Kajang,43000.0,Operational,4.0,22.0,Hulu Langat,Selangor,OCM
OSM_0,Cosmos,COSMOS Bangsar,3.1277894,101.6788434,,,,Operational,4.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_1,Unknown,COSMOS Munshi Abdullah,3.1525978999999995,101.69838959999998,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_2,EV Charger,Vision Motorsports,3.1337766,101.6096955,,Kampung Sungai Kayu Ara,,Operational,1.0,22.0,Petaling,Selangor,OSM
OSM_3,EV Charger,Utama Motors,3.1606062999999995,101.7415416,,Kuala Lumpur,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_4,EV Charger,Hamza Motors,3.1616628,101.623275,,Kuala Lumpur,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_5,EV Charge,Unknown,3.1212153,101.6551042,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_6,Unknown,Gentari / EV Connection,3.0656547,101.6630485,,,,Operational,18.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_7,Unknown,ChargEV Yinson Green Tech,3.1429376,101.7106726,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_9,Unknown,Unknown,3.1301251,101.6420686,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_10,Unknown,Unknown,3.1715556,101.6649854,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_12,chargEV,chargEV,2.9088289,101.6566397,,,,Operational,1.0,22.0,Sepang,Selangor,OSM
OSM_14,Tesla Destination Charger,Unknown,3.1281617,101.72416649999998,,,,Operational,1.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_15,Tesla Destination Charger,Unknown,3.1664141,101.6917172,,,,Operational,6.0,22.0,WP Kuala Lumpur,W.P. Kuala Lumpur,OSM
OSM_16,chargEV,chargEV,3.033279499999999,101.7652185,,,,Operational,1.0,22.0,Hulu Langat,Selangor,OSM
