series,model,variant,h,origin,origin_month,converged,MASE,MAE,RMSE,MAPE
full_2020_2026,ARIMA,base,6,68,2025-09,True,3.4316016796876108,1294.9441324388647,1589.6255583835714,33.754102650663654
full_2020_2026,ARIMA,tuned,6,36,2023-01,True,3.198359626046111,286.056117033898,310.4122959443129,51.680650750855214
full_2020_2026,ARIMA,tuned,6,37,2023-02,True,3.271555654859664,317.41946915126664,330.39146003396075,52.45942895642868
full_2020_2026,ARIMA,tuned,6,38,2023-03,True,1.7112008747495537,193.02646548037896,225.14330317363175,30.90020903180342
full_2020_2026,ARIMA,tuned,6,39,2023-04,True,1.9627771249476624,232.9440023944428,254.63871175851367,34.488127297465375
full_2020_2026,ARIMA,tuned,6,40,2023-05,True,0.6875799870875213,93.19718249981157,109.50332362838678,14.697361672465734
full_2020_2026,ARIMA,tuned,6,41,2023-06,True,1.6091154948719868,235.97483479761695,383.87155294908206,21.293388786086425
full_2020_2026,ARIMA,tuned,6,42,2023-07,True,1.5537269716913704,245.68140011366964,348.2668971434529,22.733465972375008
full_2020_2026,ARIMA,tuned,6,43,2023-08,True,1.8881800811288374,325.11438208065886,384.1112867337117,35.33458412678286
full_2020_2026,ARIMA,tuned,6,44,2023-09,True,1.7277922989766465,302.5910607127201,457.45934637405463,21.69132928122948
full_2020_2026,ARIMA,tuned,6,45,2023-10,True,1.7831878306097695,338.32225759049396,451.7248211589771,25.83919986198366
full_2020_2026,ARIMA,tuned,6,46,2023-11,True,2.301342801578261,472.12006915610124,574.9832750958059,33.8356734503722
full_2020_2026,ARIMA,tuned,6,47,2023-12,True,1.2291309489619637,292.12297737329925,344.08942369730363,27.861059686156388
full_2020_2026,ARIMA,tuned,6,48,2024-01,True,1.2556404097070406,312.8902991703962,375.62722612831726,24.655225595878864
full_2020_2026,ARIMA,tuned,6,49,2024-02,True,1.5748344286792015,396.40391566679574,440.50829318578053,30.386501644506442
full_2020_2026,ARIMA,tuned,6,50,2024-03,True,0.9083151399508594,242.659250553433,293.34505481104725,21.11501549583967
full_2020_2026,ARIMA,tuned,6,51,2024-04,True,0.8001331010399403,220.24423384868692,282.9240672118888,18.073640766922626
full_2020_2026,ARIMA,tuned,6,52,2024-05,True,1.3056534952603025,378.7015340028012,443.3363931529714,36.358805621915785
full_2020_2026,ARIMA,tuned,6,53,2024-06,True,1.0217217513704862,305.2534152789683,375.59891996660065,29.330383601118644
full_2020_2026,ARIMA,tuned,6,54,2024-07,True,1.2263187321797429,375.0362022175353,412.99496998386206,35.88704111894116
full_2020_2026,ARIMA,tuned,6,55,2024-08,True,0.9879876877330035,304.22088026914554,333.81384493396934,28.17776433472184
