name,category,district,latitude,longitude
Apartmen Saujana,residential,Petaling,3.192029173257176,101.59532355103744
Apartment Idaman,residential,Petaling,3.189977492551281,101.59177523163557
Apartmen Lestari,residential,Petaling,3.1960145839282084,101.59555061120486
Block A,residential,Petaling,3.191882403506409,101.59924775130378
Block B,residential,Petaling,3.192572125218265,101.59892282117868
Stadium Petaling Jaya,exercise,Petaling,3.0986900256504564,101.59376534807146
Apartment Pantai Indah Fasa 1,residential,WP Kuala Lumpur,3.094581083889402,101.66736273060616
C,residential,Petaling,3.106841050005743,101.59373649999984
F,residential,Petaling,3.1076462000050413,101.5937244500004
Wisma AmFirst,work,Petaling,3.097261148995278,101.5934253670611
Kompleks Sukan Kelana Jaya,exercise,Petaling,3.0955284569340886,101.59429047971742
Zenith Corporate Park,work,Petaling,3.1041933452352484,101.5927451423788
Tiara Kelana Condominium,residential,Petaling,3.1010779175691328,101.59290729491424
Kondominium Kelana Puteri,residential,Petaling,3.1072443061650934,101.5944439099071
Masjid Kajang,community,Hulu Langat,2.997489134261726,101.78846076169552
Damansara Legenda,residential,Petaling,3.125446045303651,101.59409151746183
Shell,transport,Petaling,3.12303772865826,101.59360294164571
Terminal Penumpang South Port,other,Klang,2.998300510367886,101.39199424908732
KFC,food_drink,Hulu Langat,2.932610143359809,101.85517684531128
Car Park,transport,Hulu Langat,2.9467601902988467,101.87626851287712
Car Park,transport,Hulu Langat,2.942159923220495,101.87645711693592
Car Park,transport,Hulu Langat,2.942614591248257,101.87669793323622
Car Park,transport,Hulu Langat,2.942050300597467,101.87629891233814
Car Park,transport,Hulu Langat,2.9421102366256817,101.87536634800058
Car Park,transport,Hulu Langat,2.9415973086201226,101.8770495495503
Car Park,transport,Hulu Langat,2.9415616389584525,101.87753026877505
Car Park,transport,Hulu Langat,2.941263588401885,101.87769229768072
Car Park,transport,Hulu Langat,2.9432442556290868,101.87655495414155
Car Park,transport,Hulu Langat,2.9430732373199504,101.8766509032894
