scenario,cum_pop_share,cum_access_share
current,0.07097676394555663,0.0008784741785547901
current,0.07132392698622997,0.0008914488896285248
current,0.07146951397918175,0.0008969136935356921
current,0.07159630573469766,0.000901795819487733
current,0.07178649336797154,0.0009091450587107059
current,0.07190221438152931,0.0009136613025885373
current,0.07210219599365267,0.0009215224279824053
current,0.0721407696648386,0.0009230554709660214
current,0.07220416554259655,0.0009255979233931346
current,0.07260412876684325,0.0009416396824292864
current,0.0728041103789666,0.0009497082545902658
current,0.07310408279715162,0.0009619731524947618
current,0.07330406440927498,0.0009701931428122938
current,0.07344965140222676,0.0009761852692913709
current,0.07351304727998471,0.0009788038351886863
current,0.07357644315774267,0.0009814290493616676
current,0.07367643396380434,0.000985580229100129
current,0.07371500763499027,0.00098719335888214
current,0.07401498005317529,0.0009998300098675531
current,0.07585346050815607,0.00107850042270322
current,0.07599904750110785,0.0010848019498940545
current,0.07614463449405963,0.0010911377411793773
current,0.07652500976060737,0.0011077836224926499
current,0.0768249821787924,0.001121010279764337
current,0.0769792768635361,0.0011278224213520068
current,0.07704267274129406,0.001130640654359897
current,0.07751443806248594,0.0011516526479494757
current,0.07761442886854761,0.0011561863894622765
current,0.07765300253973353,0.0011579607181215268
current,0.07777979429524945,0.0011638828038003722
current,0.0779797759073728,0.0011733724643536916
current,0.07807976671343447,0.0011781490762595602
current,0.07877970235586619,0.0012116870853523603
current,0.07884309823362415,0.0012148068461137298
current,0.0790430798457475,0.0012247496534760554
current,0.07910647572350546,0.0012279102089304392
current,0.07937649142180694,0.001241385703758049
current,0.07941506509299287,0.0012433143441469164
current,0.07949221243536472,0.001247180719364829
current,0.07969219404748808,0.0012572261844613069
current,0.07989217565961143,0.0012674021465733292
current,0.07993074933079736,0.0012693677912496261
current,0.08000789667316921,0.00127330708963315
current,0.08026148018420104,0.0012862732149961677
current,0.08040706717715282,0.0012937271428617183
current,0.08090702120746118,0.0013193818294318744
current,0.08134378218631652,0.0013419211589790717
current,0.08144377299237819,0.0013470820149956994
current,0.08164375460450154,0.0013574046329982473
current,0.08177054636001746,0.0013639942178327335
current,0.08227050039032582,0.0013899879697423536
current,0.08230907406151175,0.0013920251444827585
current,0.0825090556736351,0.0014026013624498632
current,0.08310900051000515,0.0014343949148441799
current,0.08320899131606682,0.0014397315901083707
current,0.0838429500936464,0.001474092516458978
current,0.08409653360467823,0.0014879048393689155
current,0.08422332536019414,0.0014948631300479665
current,0.0844233069723175,0.0015058960623999889
current,0.08456889396526927,0.0015139402917293007
current,0.08475908159854315,0.001524461780101437
current,0.08563260355625381,0.0015732228696711595
current,0.08583258516837716,0.0015844570808665585
current,0.08597817216132894,0.0015926479229788834
current,0.08610496391684486,0.0015997875572917241
current,0.08618211125921671,0.001604136802364227
current,0.08628210206527838,0.0016098013068331597
current,0.08647228969855225,0.0016206010351926413
current,0.08661787669150403,0.0016288847050798128
current,0.0870036134033633,0.0016509210737104538
current,0.08757417630318491,0.0016838292064294518
current,0.08771976329613669,0.0016922285789873405
current,0.08786535028908847,0.0017006493522063095
current,0.08799214204460439,0.0017080086268112206
current,0.08806928938697624,0.0017125055311860862
current,0.08825947702025011,0.0017236523299337528
current,0.08844966465352398,0.0017348148081701238
current,0.08852681199589583,0.001739360818472125
current,0.08859020787365379,0.0017431119708007856
current,0.08878039550692766,0.0017544671059156866
current,0.08898037711905102,0.001766416618937254
current,0.08910716887456693,0.001774019202089567
current,0.08926146355931064,0.0017832851035954448
current,0.08946144517143399,0.0017953783711114545
current,0.08966142678355735,0.001807755296640991
current,0.08980701377650913,0.001816807597312632
current,0.08988416111888098,0.001821609964229788
current,0.09004141622594494,0.0018314075002579919
current,0.09047817720480028,0.0018587461964949563
current,0.09094994252599216,0.0018885760162341816
current,0.09102708986836401,0.0018934574818032454
current,0.09118138455310772,0.0019032704786502838
current,0.0912971055666655,0.0019106523350748378
current,0.09149708717878885,0.0019234575709815341
current,0.09164267417174063,0.001932988043870186
current,0.09178826116469241,0.0019425473080014375
current,0.09188825197075408,0.0019491260459813186
current,0.09208823358287743,0.001962348716420808
current,0.09215162946063539,0.0019665412953937924
current,0.09219020313182132,0.0019691015682309176
current,0.09257057839836906,0.0019944633191597613
current,0.09264772574074091,0.0019996630219833874
current,0.09272487308311277,0.002004896379075029
current,0.09302484550129779,0.002025308834208343
current,0.09589727687223637,0.0022254838169396872
current,0.09605157155698008,0.002236256815743898
current,0.09625155316910343,0.002250229492773862
current,0.09631494904686139,0.0022546969047139397
current,0.09639209638923324,0.0022601552207490512
current,0.09646924373160509,0.0022656569908235144
current,0.09659603548712101,0.0022747087114133465
current,0.09689600790530603,0.00229613326442247
current,0.09697315524767788,0.002301648722611562
current,0.09703655112543584,0.002306217285874094
current,0.0971136984678077,0.002311820770423516
current,0.09727095357487166,0.002323315706410664
current,0.09739774533038757,0.002332656318663298
current,0.09768891931629113,0.0023541855640233423
current,0.09876664923817641,0.0024339465431818144
current,0.09895683687145028,0.002448110973098878
current,0.09915681848357363,0.0024630439227199103
current,0.0992568092896353,0.0024705392879147262
current,0.09960397233030864,0.002496623829876258
current,0.09973076408582456,0.0025061801882357224
