ds,policy_cap,policy_lo,policy_hi,accel_cap,actual
2026-11-01,4310.1750215677475,3884.5743987812875,4711.639496703476,5050.452978978888,
2026-12-01,5056.361562911377,4629.953906702062,5458.779165937734,5878.803526944812,
2027-01-01,4496.073079905972,4090.628806996256,4873.038184600276,5432.347370338661,
2027-02-01,4355.636319694527,3907.065823699032,4784.502345836444,5406.405042713419,
2027-03-01,4538.457289609058,4121.558924476732,4974.508340754445,5617.088985381678,
2027-04-01,4823.439115485149,4380.486070531639,5198.481005298741,6109.243873769172,
2027-05-01,5046.454017136742,4660.522370761699,5479.489236789993,6437.747753710901,
2027-06-01,4973.313011572995,4557.616334668533,5362.809881802877,6513.055367557295,
2027-07-01,4940.8044637106905,4506.301410220413,5368.905882292502,6577.996930316429,
2027-08-01,5050.978909128771,4625.7966346309695,5485.905961672078,6829.974339437633,
2027-09-01,4974.994779065343,4564.617047741162,5404.634279371771,6898.019937509842,
2027-10-01,5144.261599654812,4749.411915047396,5556.338709176353,7165.862799162712,
2027-11-01,5293.465041366359,4881.419610347342,5694.9055320718635,7467.301493151887,
2027-12-01,6157.023444499044,5725.888982555567,6594.132456070925,8442.433188334931,
2028-01-01,5418.689430272935,5014.84381264925,5811.124384823975,7873.233833377486,
2028-02-01,5267.70412082792,4850.909017906469,5678.492772485029,7885.25649595751,
2028-03-01,5703.149588426965,5288.192777452205,6113.7033674159375,8442.713711814762,
2028-04-01,5489.392931971777,5079.595868423934,5912.795261262279,8348.712742731048,
2028-05-01,5821.873760891119,5402.0290417702545,6218.228693279983,8821.572459176112,
2028-06-01,5621.425765402923,5230.623871182097,6036.886391858772,8740.547312251227,
2028-07-01,5588.2610373301495,5188.132316752017,6008.7214553787135,8852.14714697524,
2028-08-01,5678.2539821424825,5257.683838201156,6087.321382392931,9064.635664033438,
2028-09-01,5704.498282091022,5246.936058291853,6134.6420850078175,9209.486830309006,
2028-10-01,5799.472493345952,5396.605107012671,6235.163403526703,9443.049401518878,
2028-11-01,5967.852696486472,5573.654752219626,6373.818947021749,9719.304133206499,
2028-12-01,6311.80281600274,5895.522818923991,6714.6930823153025,10187.26359769868,
2029-01-01,5937.035898899534,5521.902687272689,6367.929659048532,9900.214840262552,
2029-02-01,5655.015481849546,5221.123116195212,6027.418439528672,9697.263464886562,
2029-03-01,6019.419321895484,5602.408985163057,6428.577513771304,10202.625788339408,
2029-04-01,5928.857691033787,5510.699100368095,6361.748061619762,10233.819508155564,
2029-05-01,6187.413745551053,5771.069235365095,6629.31045809209,10591.423544864201,
